,tim,aus,eur,nez,unk,bra,can,chi,hnk,ind,kor,mex,saf,sng,den,jpn,mal,nor,swe,srl,swi,twn,tha
0,2000-01-03,1.5172000000000001,0.98470000000000002,1.9033,0.61460000000000004,1.8049999999999999,1.4464999999999999,8.2797999999999998,7.7765000000000004,43.549999999999997,1128,9.4015000000000004,6.1260000000000003,1.6563000000000001,7.3289999999999997,101.7,3.7999999999999998,7.9640000000000004,8.4429999999999996,72.299999999999997,1.5808,31.379999999999999,36.969999999999999
1,2000-01-04,1.5239,0.96999999999999997,1.9238,0.6109,1.8405,1.4518,8.2798999999999996,7.7774999999999999,43.549999999999997,1122.5,9.4570000000000007,6.085,1.6535,7.218,103.09,3.7999999999999998,7.9340000000000002,8.3599999999999994,72.650000000000006,1.5565,30.600000000000001,37.130000000000003
2,2000-01-05,1.5266999999999999,0.96760000000000002,1.9339,0.60919999999999996,1.8560000000000001,1.4518,8.2797999999999998,7.7779999999999996,43.549999999999997,1135,9.5350000000000001,6.0700000000000003,1.6559999999999999,7.2080000000000002,103.77,3.7999999999999998,7.9349999999999996,8.3529999999999998,72.950000000000003,1.5526,30.800000000000001,37.100000000000001
3,2000-01-06,1.5290999999999999,0.96860000000000002,1.9436,0.60699999999999998,1.8400000000000001,1.4571000000000001,8.2797000000000001,7.7785000000000002,43.549999999999997,1146.5,9.5670000000000002,6.0800000000000001,1.6655,7.2125000000000004,105.19,3.7999999999999998,7.9400000000000004,8.3674999999999997,72.950000000000003,1.554,31.75,37.619999999999997
4,2000-01-07,1.5271999999999999,0.97140000000000004,1.9379999999999999,0.61040000000000005,1.831,1.4504999999999999,8.2794000000000008,7.7782999999999998,43.549999999999997,1138,9.5199999999999996,6.0570000000000004,1.6625000000000001,7.2285000000000004,105.17,3.7999999999999998,7.9660000000000002,8.4149999999999991,73.150000000000006,1.5623,30.850000000000001,37.299999999999997
5,2000-01-10,1.5242,0.97540000000000004,1.9350000000000001,0.61070000000000002,1.819,1.4568000000000001,8.2794000000000008,7.7785000000000002,43.549999999999997,1133.5,9.4450000000000003,6.0765000000000002,1.6617999999999999,7.2539999999999996,105.28,3.7999999999999998,8.0239999999999991,8.4489999999999998,73.299999999999997,1.5704,30.829999999999998,37.270000000000003
6,2000-01-11,1.5208999999999999,0.96879999999999999,1.9365000000000001,0.60680000000000001,1.8225,1.4570000000000001,8.2795000000000005,7.7785000000000002,43.600000000000001,1147,9.4824999999999999,6.0899999999999999,1.669,7.2140000000000004,106.09,3.7999999999999998,7.9690000000000003,8.3970000000000002,73.349999999999994,1.5605,30.829999999999998,37.609999999999999
7,2000-01-12,1.5202,0.97270000000000001,1.9286000000000001,0.60729999999999995,1.835,1.4550000000000001,8.2796000000000003,7.7786999999999997,43.600000000000001,1144.5,9.5150000000000006,6.0685000000000002,1.669,7.2359999999999998,105.76000000000001,3.7999999999999998,7.9770000000000003,8.4179999999999993,73.349999999999994,1.5660000000000001,30.800000000000001,37.539999999999999
8,2000-01-13,1.4954000000000001,0.97370000000000001,1.9084000000000001,0.60670000000000002,1.8140000000000001,1.4495,8.2797999999999998,7.7788000000000004,43.549999999999997,1135.5,9.5099999999999998,6.0570000000000004,1.6699999999999999,7.2519999999999998,106.09,3.7999999999999998,7.9424999999999999,8.4169999999999998,73.349999999999994,1.5707,30.800000000000001,37.490000000000002
9,2000-01-14,1.5004,0.98740000000000006,1.9186000000000001,0.61150000000000004,1.8049999999999999,1.4497,8.2797000000000001,7.7789000000000001,43.549999999999997,1125,9.4550000000000001,6.0750000000000002,1.6752,7.3470000000000004,105.86,3.7999999999999998,7.9969999999999999,8.4740000000000002,73.349999999999994,1.5945,30.829999999999998,37.549999999999997
11,2000-01-18,1.506,0.98799999999999999,1.9341999999999999,0.61050000000000004,1.7942,1.4501999999999999,8.2792999999999992,7.7789999999999999,43.600000000000001,1127,9.4410000000000007,6.0890000000000004,1.6735,7.3559999999999999,105.48999999999999,3.7999999999999998,8.0099999999999998,8.468,72.849999999999994,1.5942000000000001,30.890000000000001,37.399999999999999
12,2000-01-19,1.5074000000000001,0.98860000000000003,1.9399,0.60829999999999995,1.7929999999999999,1.4527000000000001,8.2797000000000001,7.7797999999999998,43.600000000000001,1134,9.4179999999999993,6.1139999999999999,1.6753,7.3654999999999999,105.39,3.7999999999999998,8,8.4870000000000001,73.200000000000003,1.5965,30.850000000000001,37.399999999999999
13,2000-01-20,1.5002,0.9869,1.9486000000000001,0.60470000000000002,1.7785,1.4483999999999999,8.2794000000000008,7.7794999999999996,43.600000000000001,1126,9.4079999999999995,6.0999999999999996,1.6765000000000001,7.343,105.45,3.7999999999999998,7.9770000000000003,8.468,72.950000000000003,1.5914999999999999,30.850000000000001,37.280000000000001
